"","Year","Month","Police.District.Name","num"
"685","2016","12","TAKOMA PARK",100
"686","2022","09","TAKOMA PARK",100
"687","2018","03","TAKOMA PARK",99
"688","2023","05","TAKOMA PARK",98
"689","2017","03","TAKOMA PARK",97
"690","2017","05","TAKOMA PARK",97
"691","2022","12","TAKOMA PARK",97
"692","2017","09","TAKOMA PARK",95
"693","2022","11","TAKOMA PARK",95
"694","2025","06","TAKOMA PARK",95
"695","2019","03","TAKOMA PARK",94
"696","2022","08","TAKOMA PARK",94
"697","2019","08","TAKOMA PARK",93
"698","2022","04","TAKOMA PARK",93
"699","2025","05","TAKOMA PARK",93
"700","2016","07","TAKOMA PARK",92
"701","2025","08","SILVER SPRING",92
"702","2019","10","TAKOMA PARK",91
"703","2022","07","TAKOMA PARK",90
"704","2025","08","WHEATON",90
"705","2016","09","TAKOMA PARK",89
"706","2021","02","TAKOMA PARK",89
"707","2022","03","TAKOMA PARK",89
"708","2017","06","TAKOMA PARK",88
"709","2021","10","TAKOMA PARK",87
"710","2016","10","TAKOMA PARK",86
"711","2017","11","TAKOMA PARK",86
"712","2020","08","TAKOMA PARK",86
"713","2018","12","TAKOMA PARK",85
"714","2021","05","TAKOMA PARK",85
"715","2024","09","TAKOMA PARK",85
"716","2017","10","TAKOMA PARK",84
"717","2018","10","TAKOMA PARK",84
"718","2021","06","TAKOMA PARK",84
"719","2022","10","TAKOMA PARK",84
"720","2020","05","TAKOMA PARK",83
